1,0,CONNECTICUT,1114756,9000,,,,,0.108190881
1,10,FAIRFIELD,245322,9001,,,,,0.094097996
1,30,HARTFORD,250182,9003,,,,,0.113491683
1,50,LITCHFIELD,70260,9005,,,,,0.096286812
1,70,MIDDLESEX,45637,9007,,,,,0.171830986
1,90,NEW HAVEN,337282,9009,,,,,0.11471013
1,110,NEW LONDON,91253,9011,,,,,0.099449766
1,130,TOLLAND,26459,9013,,,,,0.11464497
1,150,WINDHAM,48361,9015,,,,,0.081769437
2,0,MAINE,742371,23000,,,,,0.165371837
2,10,ANDROSCOGGIN,59822,23001,,,,,0.141288645
2,30,AROOSTOOK,74664,23003,,,,,0.130569718
2,50,CUMBERLAND,112014,23005,,,,,0.180013236
2,70,FRANKLIN,19119,23007,,,,,0.216463415
2,90,HANCOCK,35575,23009,,,,,0.188049209
2,110,KENNEBEC,62863,23011,,,,,0.178814383
2,130,KNOX,28981,23013,,,,,0.187958884
2,150,LINCOLN,18216,23015,,,,,0.169554455
2,170,OXFORD,36256,23017,,,,,0.151800554
2,190,PENOBSCOT,85285,23019,,,,,0.190497636
2,210,PISCATAQUIS,19887,23021,,,,,0.220952381
2,230,SAGADAHOC,18574,23023,,,,,0.159353349
2,250,SOMERSET,36301,23025,,,,,0.18021978
2,270,WALDO,23383,23027,,,,,0.188166828
2,290,WASHINGTON,42905,23029,,,,,0.157987643
2,310,YORK,68526,23031,,,,,0.117314124
3,0,MASSACHUSETTS,3366416,25000,,,,,0.145370785
3,10,BARNSTABLE,27542,25001,,,,,0.190610329
3,30,BERKSHIRE,105259,25003,,,,,0.125996016
3,50,BRISTOL,318573,25005,,,,,0.100207105
3,70,DUKES,4504,25007,,,,,0.202380952
3,90,ESSEX,436477,25009,,,,,0.132395048
3,110,FRANKLIN,43600,25011,,,,,0.164325245
3,130,HAMPDEN,231369,25013,,,,,0.130936135
3,150,HAMPSHIRE,63327,25015,,,,,0.146907216
3,170,MIDDLESEX,669915,25017,,,,,0.177020385
3,190,NANTUCKET,2962,25019,,,,,0.208695652
3,210,NORFOLK,187506,25021,,,,,0.178560427
3,230,PLYMOUTH,144337,25023,,,,,0.146865985
3,250,SUFFOLK,731388,25025,,,,,0.149148297
3,270,WORCESTER,399657,25027,,,,,0.133520313
4,0,NEW HAMPSHIRE,430572,33000,,,,,0.132271291
4,10,BELKNAP,21309,33001,,,,,0.191871456
4,30,CARROLL,16316,33003,,,,,0.160762943
4,50,CHESHIRE,30659,33005,,,,,0.157123835
4,70,COOS,30753,33007,,,,,0.143674507
4,90,GRAFTON,41652,33009,,,,,0.172430589
4,110,HILLSBOROUGH,126072,33011,,,,,0.088733918
4,130,MERRIMACK,53335,33013,,,,,0.183294664
4,150,ROCKINGHAM,52188,33015,,,,,0.132014534
4,170,STRAFFORD,38951,33017,,,,,0.133653846
4,190,SULLIVAN,19337,33019,,,,,0.138297872
